BHK,Flat Type,Locality,Area,Furnishing Status,Price
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,59000
3 BHK,Apartment,Nanakramguda,1650,Semi-Furnished,59000
3 BHK,Apartment,Hitech City,1600,Semi-Furnished,64000
3 BHK,Apartment,Gachibowli,1800,Furnished,79000
4 BHK,Apartment,Gachibowli,1993,Unfurnished,59000
2 BHK,Apartment,Bachupally,1200,Semi-Furnished,26000
2 BHK,Apartment,Gachibowli,1283,Semi-Furnished,40000
2 BHK,Apartment,Amberpet,1000,Semi-Furnished,19001
2 BHK,Apartment,Nallakunta,1000,Semi-Furnished,19000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
3 BHK,Apartment,Kondapur,1750,Semi-Furnished,28000
3 BHK,Apartment,Kondapur,1700,Furnished,45000
3 BHK,Apartment,Tellapur,2020,Furnished,45000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
2 BHK,Independent,Habsiguda,1000,Unfurnished,13000
3 BHK,Independent,Habsiguda,2200,Unfurnished,22000
0 BHK,Independent,Habsiguda,7000,Semi-Furnished,1 L
3 BHK,Independent,Habsiguda,3500,Furnished,40000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
2 BHK,Apartment,Miyapur,1000,Unfurnished,26000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
2 BHK,Apartment,Kukatpally,1000,Semi-Furnished,20000
3 BHK,Apartment,Gachibowli,2000,Semi-Furnished,50000
3 BHK,Apartment,Tellapur,2020,Furnished,47000
3 BHK,Apartment,Madhapur,2500,Semi-Furnished,64000
3 BHK,Apartment,Gachibowli,1800,Furnished,59000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Hitech City,1900,Semi-Furnished,55000
3 BHK,Apartment,Kondapur,2200,Semi-Furnished,49000
3 BHK,Apartment,Kukatpally,1900,Semi-Furnished,55000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
3 BHK,Apartment,Nallakunta,1800,Semi-Furnished,27000
3 BHK,Apartment,Nallagandla Gachibowli,1800,Semi-Furnished,49000
3 BHK,Independent,Kondapur,1800,Furnished,59000
3 BHK,Apartment,Gachibowli,1470,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Kukatpally,2100,Furnished,44000
3 BHK,Apartment,Tellapur,1600,Semi-Furnished,37000
3 BHK,Apartment,Ramachandrapuram,1600,Furnished,47000
3 BHK,Apartment,Kukatpally,1500,Furnished,39000
3 BHK,Apartment,Kukatpally,1600,Furnished,41000
3 BHK,Apartment,Kondapur,1800,Furnished,57000
3 BHK,Apartment,Nallagandla Gachibowli,1510,Semi-Furnished,44000
2 BHK,Apartment,Nallagandla Gachibowli,1300,Semi-Furnished,36000
2 BHK,Apartment,Kondapur,1100,Semi-Furnished,43000
3 BHK,Apartment,Nanakramguda,2000,Semi-Furnished,50000
3 BHK,Apartment,Abids,1400,Semi-Furnished,29000
3 BHK,Apartment,Kondapur,1798,Furnished,60000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,70000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,60000
3 BHK,Apartment,Madhapur,3400,Furnished,1.8 L
3 BHK,Independent,Nanakramguda,1700,Furnished,45000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
2 BHK,Apartment,Gachibowli,1283,Unfurnished,32000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
3 BHK,Apartment,Gachibowli,1410,Semi-Furnished,45000
3 BHK,Apartment,Kondapur,1798,Furnished,60000
3 BHK,Apartment,Madhapur,2595,Furnished,1.3 L
4 BHK,Apartment,Masab Tank,2200,Semi-Furnished,55000
1 BHK,Apartment,Masab Tank,500,Semi-Furnished,15000
3 BHK,Apartment,Kondapur,1550,Semi-Furnished,49000
3 BHK,Apartment,Tellapur,2020,Furnished,44000
2 BHK,Apartment,Kukatpally,1250,Semi-Furnished,42000
3 BHK,Independent,Kukatpally,1750,Semi-Furnished,64000
2 BHK,Apartment,Kukatpally,1450,Semi-Furnished,34000
3 BHK,Apartment,Kukatpally,2000,Furnished,46000
3 BHK,Apartment,Gachibowli,1366,Semi-Furnished,69000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,44000
